text,annotation,created_at,user_id,status_id,reply_to_status_id,reply_to_user_id,country,country_code,location,lang,retweet_count,is_retweet,retweet_location,retweet_status_id,reply_count,favorite_count,retweet_favorite_count,inter_rater
"@Shysterhater @carmic3 @lizziesharks @Scotia80 @ScotGovFM @ScotParl @NicolaSturgeon Always interesting to read the Irish Marxist take on geopolitics.

Ignorance, lies and violence: that's usually how it works, right?",not_misogynistic,2019-07-06 19:12:22,792682198688264200,1147584089169551400,1147583731240198100,1095744850916454400,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,TRUE
im changing the password nobody knows backyardigans fucking bitch!,misogynistic,2019-07-01 17:32:21,1092401567968288800,1145746980976508900,NA,NA,NA,NA,정재현.,en,0,0,NA,NA,NA,0,NA,TRUE
@SouthsideSteve @baileysouthside @ROCK1005Atlanta We went to the DR twice this year. Stayed at the Hard Rock the first time. Try a “Dirty Monkey”. You’ll thank me later!! #chocolateandbanana,not_misogynistic,2019-07-01 02:04:12,1692626420,1145513404100165600,1145437195727179800,572203837,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,TRUE
"@IlhanMN @AOC In Canada, with legalization, the price doubled. Wonder why a socialist is pushing drugs?",not_misogynistic,2019-07-06 19:31:37,1142933459515502600,1147588935075237900,1147224056237895700,783792992,NA,NA,Canada,en,0,0,NA,NA,NA,0,NA,TRUE
"@sportsjunkie781 @aimeeallison @JoeBiden @AOC Exactly, that's why I like it.. Four more years guaranteed for Trump, thanks God!
@POTUS",not_misogynistic,2019-07-07 11:54:56,81039613,1.1478363932317041e+18,1147640820360601600,1081629524725358600,NA,NA,Zürich,en,0,0,NA,NA,NA,0,NA,TRUE
"@s26rts_stuart @angeleyes_1980 @Pink @NicolaSturgeon So your one of those Fanny's that I get stuck behind in a queue while your trying to get your iPhone to work... Also I doubt how much your in London, I have been working here since 2013 and the refusing money problem has just got worse and worse...",misogynistic,2019-07-03 08:34:15,373609092,1146336339861880800,1146140478687129600,2334009892,NA,NA,the kernal...,en,0,0,NA,NA,NA,2,NA,TRUE
@badcoverversion @JessicaValenti It just made me think about Korey Wise. Same age when he was accused. No effort made to protect his name/image. No consideration given to his family/future. Pushed a conviction through the courts with me real evidence. That has to be the difference.,not_misogynistic,2019-07-03 12:44:30,3236570703,1146399316531171300,1146395240120668200,15960386,NA,NA,New York City  | Belize City,en,0,0,NA,NA,NA,1,NA,TRUE
@DavidDuguidMP @theSNP @NicolaSturgeon @theresa_may And your party's answer is to drown out the smaller boats in fav of 5 familys who fav the Union not the EU. https://t.co/Jp8nsoX7Ux,not_misogynistic,2019-07-04 20:19:48,120617571,1146876284817092600,1146862042730631200,854280215601840100,NA,NA,Glasgow Scotland,en,0,0,NA,NA,NA,1,NA,TRUE
"@Janela_X @TheEuroGirl @theSNP @NicolaSturgeon @AngusRobertson They won't. They support it from the top down!

Nasty nationalists",not_misogynistic,2019-07-06 15:00:03,60286033,1147520591752302600,1147414045085093900,766629423399469e3,NA,NA,🇬🇧 / 🏴󠁧󠁢󠁳󠁣󠁴󠁿 or 🇮🇹,en,3,0,NA,NA,NA,6,NA,TRUE
hate a “you posted but can’t text me back” ass bitch,misogynistic,2019-06-30 02:43:12,1510780130,1145160830960451600,NA,NA,NA,NA,"Philadelphia, PA",en,0,0,NA,NA,NA,1,NA,TRUE
Wow I’ve been spiraling on this bitch for a week hahah,misogynistic,2019-07-02 19:29:02,1047136910685167600,1146138729817563100,NA,NA,NA,NA,"Brooklyn, NY",en,0,0,NA,NA,NA,0,NA,TRUE
"@AndrewYang I disagree... anytime a leader starves his people,  kills them for having opinions, and teaches others should be killed IN GRADE SCHOOL  isn't looking for peace! Period!",not_misogynistic,2019-06-30 23:20:15,415262886,1145472142483607600,1145307780854820900,2228878592,NA,NA,"Atlanta, GA",en,0,0,NA,NA,NA,0,NA,TRUE
@LindseyGrahamSC Look in the mirror Lindsey. Boring and butt ugly is what you’re seeing.,misogynistic,2019-06-28 14:14:01,836676366,1144609903857872900,1144420034237931500,432895323,NA,NA,Atlanta,en,0,0,NA,NA,NA,0,NA,TRUE
What I don’t understand is girls will post slutty ass pictures with slutty ass captions but be mad dudes in they dms tryna fuck... bitch your Instagram is dam near backpage... tf,misogynistic,2019-06-29 07:15:39,2351268326,1144867004060274700,NA,NA,NA,NA,"California, USA",en,0,0,NA,NA,NA,0,NA,TRUE
"""Matt... I never thought you'd be killed... Forgive me..."" -Mello",not_misogynistic,2019-06-29 20:46:42,627339104,1145071111710789600,NA,NA,NA,NA,Wammy's House,en,0,0,NA,NA,NA,0,NA,TRUE
Some knock kneed soccer dyke thinks she matters. No body gives a rats a$$ about her or any other soccer carpet muncher!,misogynistic,2019-06-30 18:31:41,1015324878021578800,1145399524309033e3,NA,NA,NA,NA,"Kansas, USA",en,0,0,NA,NA,NA,1,NA,TRUE
"@18_xxxbabes @NastyLady70 Shit, the Camel Toe of all Time😎🐲😘😝",misogynistic,2019-06-30 04:15:15,3193451406,1145183994352455700,1144896853743493100,997433486071029800,NA,NA,"Indianapolis, IN",en,0,0,NA,NA,NA,0,NA,TRUE
"@bainjal @ashokgehlot51 @SachinPilot We all know politics is a dirty game,but when ppl like Sachin pilot whom many youngsters look upto are hand in glove,there is no hope for this country anymore.Sad day",not_misogynistic,2019-06-29 06:26:50,35989699,1144854719611002900,1.1448538604286321e+18,89732309,NA,NA,NA,en,0,0,NA,NA,NA,9,NA,TRUE
i love the word “lesbian” and i live hearing lesbians use it so freely but hearing other people use it almost invokes like an instinctive discomfort? idk if other lesbians feel the same way but it’s so weird cause i also don’t like when non lesbians treat it like a dirty word,not_misogynistic,2019-06-30 11:09:16,1103412814318731300,1145288184953233400,NA,NA,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,TRUE
@Dazkys HAHAHAHAHAHAHA BITCH THE FUCK,misogynistic,2019-07-01 10:52:50,1093129591462408200,1145646437893472300,1145483085716361200,951985803869253600,NA,NA,NA,tl,0,0,NA,NA,NA,0,NA,TRUE
@JessicaValenti Also I just assume the judge is also a rapist when this happens. 🤷‍♀️,misogynistic,2019-07-03 15:58:29,14114899,1146448131917152300,1146249118223884300,4099171,NA,NA,"San Francisco, CA",en,0,0,NA,NA,NA,2,NA,FALSE
